street_name,chars
נטע,נ ט ע
אע'ניית אלס'ועוד,א ע ' נ י י ת   א ל ס ' ו ע ו ד
ק אילות,ק   א י ל ו ת
נבו,נ ב ו
משעול רמונית,מ ש ע ו ל   ר מ ו נ י ת
אל הרדוב,א ל   ה ר ד ו ב
אהרון בקר,א ה ר ו ן   ב ק ר
ד רוסי,ד   ר ו ס י
השלוח דרום,ה ש ל ו ח   ד ר ו ם
הופנקו,ה ו פ נ ק ו
רח עג ק חיים,ר ח   ע ג   ק   ח י י ם
שכ לדוגמא,ש כ   ל ד ו ג מ א
הדר רמתים,ה ד ר   ר מ ת י ם
פשב דימיטר,פ ש ב   ד י מ י ט ר
משעול יעקב,מ ש ע ו ל   י ע ק ב
רח ג מכבי חד,ר ח   ג   מ כ ב י   ח ד
אלקבץ,א ל ק ב ץ
שרחביל,ש ר ח ב י ל
אל - ביארק,א ל   -   ב י א ר ק
גיא אוני,ג י א   א ו נ י
גדוע,ג ד ו ע
כהן אלי ש,כ ה ן   א ל י   ש
אל מגידל,א ל   מ ג י ד ל
הקיני ככר,ה ק י נ י   כ כ ר
דוד כוכבי,ד ו ד   כ ו כ ב י
אלסירה,א ל ס י ר ה
רחבת הנחל,ר ח ב ת   ה נ ח ל
אל בתרא,א ל   ב ת ר א
אל סאדה,א ל   ס א ד ה
בני ברית מוסד,ב נ י   ב ר י ת   מ ו ס ד
מועין בסיסו,מ ו ע י ן   ב ס י ס ו
אחים סולימן,א ח י ם   ס ו ל י מ ן
אליהו שמעא,א ל י ה ו   ש מ ע א
כוכבי יצחק,כ ו כ ב י   י צ ח ק
משעול פנקס דוד,מ ש ע ו ל   פ נ ק ס   ד ו ד
עקבת אל אסלה,ע ק ב ת   א ל   א ס ל ה
ככר היידן אלכסנדר,כ כ ר   ה י י ד ן   א ל כ ס נ ד ר
רחמים הצלם,ר ח מ י ם   ה צ ל ם
ש טרומיים,ש   ט ר ו מ י י ם
משעול הספרות,מ ש ע ו ל   ה ס פ ר ו ת
ש מגדל,ש   מ ג ד ל
שרה דרך,ש ר ה   ד ר ך
בינה ודעת,ב י נ ה   ו ד ע ת
חלת אלאעור,ח ל ת   א ל א ע ו ר
קרית שלום צ,ק ר י ת   ש ל ו ם   צ
נילס בוהר,נ י ל ס   ב ו ה ר
הרכבת ב כהן,ה ר כ ב ת   ב   כ ה ן
"דרך רגבים ג""ע","ד ר ך   ר ג ב י ם   ג "" ע"
ישראל פונט,י ש ר א ל   פ ו נ ט
גבעת אביב,ג ב ע ת   א ב י ב
מ בואר ב וגן,מ   ב ו א ר   ב   ו ג ן
אזור התעשייה א',א ז ו ר   ה ת ע ש י י ה   א '
ר ויזניץ ש,ר   ו י ז נ י ץ   ש
רח קא,ר ח   ק א
צבי גרינברג,צ ב י   ג ר י נ ב ר ג
בסתאן אל-רמאן,ב ס ת א ן   א ל - ר מ א ן
הרב אבידע,ה ר ב   א ב י ד ע
תורה ומנוחה,ת ו ר ה   ו מ נ ו ח ה
לורך,ל ו ר ך
מבוא המתמיד,מ ב ו א   ה מ ת מ י ד
רח בג,ר ח   ב ג
מעברה צריף,מ ע ב ר ה   צ ר י ף
אבידן שמעון,א ב י ד ן   ש מ ע ו ן
אל-ברזה,א ל - ב ר ז ה
אל חנסא,א ל   ח נ ס א
ויגודסקי,ו י ג ו ד ס ק י
ישראל שפירא,י ש ר א ל   ש פ י ר א
כיכר סיפן,כ י כ ר   ס י פ ן
טירה דרומית,ט י ר ה   ד ר ו מ י ת
נוף הרודיון,נ ו ף   ה ר ו ד י ו ן
לויטן יצחק,ל ו י ט ן   י צ ח ק
ש גני ראשון,ש   ג נ י   ר א ש ו ן
משעול פנקס,מ ש ע ו ל   פ נ ק ס
זאב וילנאי,ז א ב   ו י ל נ א י
ש הרכבת,ש   ה ר כ ב ת
ביאליק ביס,ב י א ל י ק   ב י ס
זהראן,ז ה ר א ן
משעול הקיכלי,מ ש ע ו ל   ה ק י כ ל י
פלגי מים,פ ל ג י   מ י ם
ארד אל סמאר,א ר ד   א ל   ס מ א ר
יונה,י ו נ ה
יפה ירקוני,י פ ה   י ר ק ו נ י
אפריים קציר,א פ ר י י ם   ק צ י ר
יקוט אל חמוי,י ק ו ט   א ל   ח מ ו י
עין סהרונים,ע י ן   ס ה ר ו נ י ם
אל חמרא,א ל   ח מ ר א
ש מזרח תלפיו,ש   מ ז ר ח   ת ל פ י ו
סמ גפן,ס מ   ג פ ן
כפר אחים,כ פ ר   א ח י ם
עספור אל ג'נה,ע ס פ ו ר   א ל   ג ' נ ה
תל זית,ת ל   ז י ת
לוד כביש,ל ו ד   כ ב י ש
אלתקוא,א ל ת ק ו א
דרך הכרמל,ד ר ך   ה כ ר מ ל
טרבלוס,ט ר ב ל ו ס
הרב יחזקאל אברמסקי,ה ר ב   י ח ז ק א ל   א ב ר מ ס ק י
אל זנאבק,א ל   ז נ א ב ק
הילמן רות,ה י ל מ ן   ר ו ת
אל-נהר,א ל - נ ה ר
אל מנסור,א ל   מ נ ס ו ר
עזיז בן לולו,ע ז י ז   ב ן   ל ו ל ו
גייסות השריון,ג י י ס ו ת   ה ש ר י ו ן
אל הדיה,א ל   ה ד י ה
גדילן,ג ד י ל ן
ש נוה מרדכי,ש   נ ו ה   מ ר ד כ י
אלשמס,א ל ש מ ס
ש פאן לון,ש   פ א ן   ל ו ן
אלופאא,א ל ו פ א א
מדרשה שדה בוקר,מ ד ר ש ה   ש ד ה   ב ו ק ר
גלילות,ג ל י ל ו ת
ארו קנט גוזף,א ר ו   ק נ ט   ג ו ז ף
אלמוחטארה,א ל מ ו ח ט א ר ה
דר אפשטיין,ד ר   א פ ש ט י י ן
סיגלית סמטה,ס י ג ל י ת   ס מ ט ה
נצנים כפר הנער,נ צ נ י ם   כ פ ר   ה נ ע ר
הרב הדאיה,ה ר ב   ה ד א י ה
אל מרכז,א ל   מ ר כ ז
דרך המנזר,ד ר ך   ה מ נ ז ר
ש חדש ק פרוס,ש   ח ד ש   ק   פ ר ו ס
הרב מנצור בן שמעון,ה ר ב   מ נ צ ו ר   ב ן   ש מ ע ו ן
גבעת יקנעם,ג ב ע ת   י ק נ ע ם
מעלה כפר עציון,מ ע ל ה   כ פ ר   ע צ י ו ן
ק ביאליק,ק   ב י א ל י ק
רוטנברג יוליה ושמוא,ר ו ט נ ב ר ג   י ו ל י ה   ו ש מ ו א
באב אלהוא,ב א ב   א ל ה ו א
כ שלם רח נז,כ   ש ל ם   ר ח   נ ז
ככר הברושים דרום,כ כ ר   ה ב ר ו ש י ם   ד ר ו ם
סטימצקי אביגדור,ס ט י מ צ ק י   א ב י ג ד ו ר
צמח,צ מ ח
הרלינג,ה ר ל י נ ג
אלחגיראת,א ל ח ג י ר א ת
שפירא פנה,ש פ י ר א   פ נ ה
אבן אל עזיז,א ב ן   א ל   ע ז י ז
רבינו בחיי,ר ב י נ ו   ב ח י י
אישטיין,א י ש ט י י ן
זרעית,ז ר ע י ת
"ראב""ע","ר א ב "" ע"
אפרים לרון,א פ ר י ם   ל ר ו ן
ש רמז,ש   ר מ ז
ש כורדים,ש   כ ו ר ד י ם
מרדכי חביב,מ ר ד כ י   ח ב י ב
סמטת הילד,ס מ ט ת   ה י ל ד
לייב דיין,ל י י ב   ד י י ן
אלעולא,א ל ע ו ל א
ביס אלומות,ב י ס   א ל ו מ ו ת
ב אזור ג,ב   א ז ו ר   ג
סיטי,ס י ט י
אלעוינה,א ל ע ו י נ ה
סמ דרייפוס,ס מ   ד ר י י פ ו ס
סנט סלודור,ס נ ט   ס ל ו ד ו ר
בקור חולים,ב ק ו ר   ח ו ל י ם
קרית יערים,ק ר י ת   י ע ר י ם
פרדס חנה-כרכור,פ ר ד ס   ח נ ה - כ ר כ ו ר
כביש נתיבי איילון,כ ב י ש   נ ת י ב י   א י י ל ו ן
נג'ד,נ ג ' ד
טאוב,ט א ו ב
משעול התור,מ ש ע ו ל   ה ת ו ר
ניין,נ י י ן
מקדש מלך,מ ק ד ש   מ ל ך
הילד שד,ה י ל ד   ש ד
ח'רבת ח'ראזה,ח ' ר ב ת   ח ' ר א ז ה
שויצר דוביד,ש ו י צ ר   ד ו ב י ד
הרב שמעון גבאי,ה ר ב   ש מ ע ו ן   ג ב א י
דחית אל בריד,ד ח י ת   א ל   ב ר י ד
סמ מטמון,ס מ   מ ט מ ו ן
אל חילו,א ל   ח י ל ו
ר' אריה לוין,ר '   א ר י ה   ל ו י ן
זיד אלכסנדר,ז י ד   א ל כ ס נ ד ר
דוד המלך שדרות,ד ו ד   ה מ ל ך   ש ד ר ו ת
כפר תבור ש,כ פ ר   ת ב ו ר   ש
רב יעקב בי,ר ב   י ע ק ב   ב י
ישיבת פוניבז,י ש י ב ת   פ ו נ י ב ז
אחוזת גן,א ח ו ז ת   ג ן
אל-רמל,א ל - ר מ ל
שכ אלבורג',ש כ   א ל ב ו ר ג '
הכלניות סמטה,ה כ ל נ י ו ת   ס מ ט ה
הבשור,ה ב ש ו ר
שביל מיתר,ש ב י ל   מ י ת ר
ט'הר אלכניס,ט ' ה ר   א ל כ נ י ס
רבינו חננאל,ר ב י נ ו   ח נ נ א ל
פול גוגן,פ ו ל   ג ו ג ן
אלזוחרוף,א ל ז ו ח ר ו ף
משעול הרפואה,מ ש ע ו ל   ה ר פ ו א ה
רחף,ר ח ף
מעון עולים,מ ע ו ן   ע ו ל י ם
ככר אובה אקלה,כ כ ר   א ו ב ה   א ק ל ה
עבודי ניסן,ע ב ו ד י   נ י ס ן
זינגר הרב,ז י נ ג ר   ה ר ב
העשור,ה ע ש ו ר
ש בנות חיל,ש   ב נ ו ת   ח י ל
ס הארבל,ס   ה א ר ב ל
דר להמן,ד ר   ל ה מ ן
יוחנן ג חלב,י ו ח נ ן   ג   ח ל ב
עין אל-ג'נאן,ע י ן   א ל - ג ' נ א ן
הצדפים,ה צ ד פ י ם
קראוזה,ק ר א ו ז ה
אלבואדי,א ל ב ו א ד י
דב גפונוב,ד ב   ג פ ו נ ו ב
אלג'ורה,א ל ג ' ו ר ה
ש הדייגים,ש   ה ד י י ג י ם
ק חיים מע,ק   ח י י ם   מ ע
ליואי אברהם,ל י ו א י   א ב ר ה ם
וינר יוסף,ו י נ ר   י ו ס ף
ויקטור ויוליוס,ו י ק ט ו ר   ו י ו ל י ו ס
"עו""ד זרסקי מנחם","ע ו "" ד   ז ר ס ק י   מ נ ח ם"
צור שמשון,צ ו ר   ש מ ש ו ן
הקרן קימת שד,ה ק ר ן   ק י מ ת   ש ד
נוה עובד שדרות,נ ו ה   ע ו ב ד   ש ד ר ו ת
ככר הברכות,כ כ ר   ה ב ר כ ו ת
משעול האגס,מ ש ע ו ל   ה א ג ס
מרדכי בר מוחא,מ ר ד כ י   ב ר   מ ו ח א
אל-עבאסיה,א ל - ע ב א ס י ה
אפרים סמ,א פ ר י ם   ס מ
סמו אברהם,ס מ ו   א ב ר ה ם
ש שבת,ש   ש ב ת
גינזבורג זלמן,ג י נ ז ב ו ר ג   ז ל מ ן
אל-נכב,א ל - נ כ ב
סנטור ת גבו,ס נ ט ו ר   ת   ג ב ו
אוניון,א ו נ י ו ן
טהרת אלנמלה ב לאומי,ט ה ר ת   א ל נ מ ל ה   ב   ל א ו מ י
אלט'הר,א ל ט ' ה ר
הרב חיים סינואני,ה ר ב   ח י י ם   ס י נ ו א נ י
נחל סנסנה,נ ח ל   ס נ ס נ ה
סעד,ס ע ד
אלקרעאוי,א ל ק ר ע א ו י
בילסאן,ב י ל ס א ן
אלשיח',א ל ש י ח '
"שורק צ""י","ש ו ר ק   צ "" י"
הבריאה,ה ב ר י א ה
מעברה ש חדש,מ ע ב ר ה   ש   ח ד ש
ישראל בן ציון,י ש ר א ל   ב ן   צ י ו ן
יוסף תקוע,י ו ס ף   ת ק ו ע
צריף,צ ר י ף
בנאי אליהו,ב נ א י   א ל י ה ו
חרת א בוס,ח ר ת   א   ב ו ס
בן יוסף,ב ן   י ו ס ף
בית סוהר תל מונד,ב י ת   ס ו ה ר   ת ל   מ ו נ ד
אלוף הנצחון,א ל ו ף   ה נ צ ח ו ן
ש רב קומ מ,ש   ר ב   ק ו מ   מ
ביר אל יזיק,ב י ר   א ל   י ז י ק
מרווה,מ ר ו ו ה
שד משה דיין,ש ד   מ ש ה   ד י י ן
הסדן,ה ס ד ן
מרגנית,מ ר ג נ י ת
חולון הירוקה,ח ו ל ו ן   ה י ר ו ק ה
טיומקין זאב,ט י ו מ ק י ן   ז א ב
אלחמרא,א ל ח מ ר א
אל-נסרה,א ל - נ ס ר ה
הרחוב העליון,ה ר ח ו ב   ה ע ל י ו ן
"נעמ""ת","נ ע מ "" ת"
גבעת נשר,ג ב ע ת   נ ש ר
קנופף יוסף,ק נ ו פ ף   י ו ס ף
טירת כסף,ט י ר ת   כ ס ף
ארמוזה אליהו כיכר,א ר מ ו ז ה   א ל י ה ו   כ י כ ר
אלחמאמה,א ל ח מ א מ ה
קיסוס מכבים רעות,ק י ס ו ס   מ כ ב י ם   ר ע ו ת
ניר עם,נ י ר   ע ם
שד הגיבורים,ש ד   ה ג י ב ו ר י ם
מלון פנורמה,מ ל ו ן   פ נ ו ר מ ה
סמ שושנה לוי,ס מ   ש ו ש נ ה   ל ו י
טיילת עזרה זהר,ט י י ל ת   ע ז ר ה   ז ה ר
קבוץ מרחביה,ק ב ו ץ   מ ר ח ב י ה
כיכר משפחת חנדלי,כ י כ ר   מ ש פ ח ת   ח נ ד ל י
ש שלום ב,ש   ש ל ו ם   ב
אחוד בעם,א ח ו ד   ב ע ם
סלסלה,ס ל ס ל ה
פנחס ב דרש,פ נ ח ס   ב   ד ר ש
מחולה סמ,מ ח ו ל ה   ס מ
ככר המרכז,כ כ ר   ה מ ר כ ז
מפוח,מ פ ו ח
המחנך,ה מ ח נ ך
ארביתה,א ר ב י ת ה
אל עיסוויה,א ל   ע י ס ו ו י ה
האניה,ה א נ י ה
מעלה פרג,מ ע ל ה   פ ר ג
הכרמל סמטה,ה כ ר מ ל   ס מ ט ה
יד אסא ביח,י ד   א ס א   ב י ח
מעגל הכלנית,מ ע ג ל   ה כ ל נ י ת
ב פרל,ב   פ ר ל
מדע שלום,מ ד ע   ש ל ו ם
אל - יסמין,א ל   -   י ס מ י ן
רח כג סחנה א,ר ח   כ ג   ס ח נ ה   א
התור,ה ת ו ר
עבד - אלנסר,ע ב ד   -   א ל נ ס ר
הפרדס,ה פ ר ד ס
שדרות בן מימון,ש ד ר ו ת   ב ן   מ י מ ו ן
ריבלין אליעזר,ר י ב ל י ן   א ל י ע ז ר
סמ החבצלת,ס מ   ה ח ב צ ל ת
ש דרום עממי,ש   ד ר ו ם   ע מ מ י
אלסנדיאני,א ל ס נ ד י א נ י
שדרות נוה יעקב,ש ד ר ו ת   נ ו ה   י ע ק ב
בית הורים,ב י ת   ה ו ר י ם
פרופ' שור,פ ר ו פ '   ש ו ר
נחיל,נ ח י ל
חריף איזיק,ח ר י ף   א י ז י ק
לופיאן,ל ו פ י א ן
מנדל מוס,מ נ ד ל   מ ו ס
שירת הגאולה,ש י ר ת   ה ג א ו ל ה
נתיב הלוטם,נ ת י ב   ה ל ו ט ם
שביל שיזף,ש ב י ל   ש י ז ף
חזני,ח ז נ י
נורדאו שד,נ ו ר ד א ו   ש ד
בוכריס הרב,ב ו כ ר י ס   ה ר ב
בוקעי יעקב ככר,ב ו ק ע י   י ע ק ב   כ כ ר
רואוס אל-ג'יבאל,ר ו א ו ס   א ל - ג ' י ב א ל
דורה חרש ש,ד ו ר ה   ח ר ש   ש
צבי ברגמן,צ ב י   ב ר ג מ ן
דרב סאפאד,ד ר ב   ס א פ א ד
שכון ג רח ד,ש כ ו ן   ג   ר ח   ד
המשוררת זלדה,ה מ ש ו ר ר ת   ז ל ד ה
אל מסררה,א ל   מ ס ר ר ה
אל-סודאני,א ל - ס ו ד א נ י
אל-תבג',א ל - ת ב ג '
מעלה העקרבים,מ ע ל ה   ה ע ק ר ב י ם
קצין,ק צ י ן
האשל החדש,ה א ש ל   ה ח ד ש
גיל עמל,ג י ל   ע מ ל
אלחארה אלפוקא,א ל ח א ר ה   א ל פ ו ק א
גילה ב,ג י ל ה   ב
הרב בוקסבוים,ה ר ב   ב ו ק ס ב ו י ם
ש חס רמבם,ש   ח ס   ר מ ב ם
חמזה דרויש,ח מ ז ה   ד ר ו י ש
שמר,ש מ ר
גב השלשה,ג ב   ה ש ל ש ה
ככר איציק מנגר,כ כ ר   א י צ י ק   מ נ ג ר
דרדשי שלמה,ד ר ד ש י   ש ל מ ה
אהרן דוד,א ה ר ן   ד ו ד
הרב קטרוני,ה ר ב   ק ט ר ו נ י
שכ התקווה,ש כ   ה ת ק ו ו ה
עכו,ע כ ו
יעקב גרשפלד,י ע ק ב   ג ר ש פ ל ד
אל-טיבאת,א ל - ט י ב א ת
פיתוח עמידר,פ י ת ו ח   ע מ י ד ר
מנזר המרונים,מ נ ז ר   ה מ ר ו נ י ם
סמ החרצית,ס מ   ה ח ר צ י ת
העירית,ה ע י ר י ת
ישראל פרייב,י ש ר א ל   פ ר י י ב
גליצנשטין,ג ל י צ נ ש ט י ן
כיכר מלכיאל בבייב,כ י כ ר   מ ל כ י א ל   ב ב י י ב
כפר ברנדס,כ פ ר   ב ר נ ד ס
עזרא כהן,ע ז ר א   כ ה ן
דרך עזה,ד ר ך   ע ז ה
שכ תשליב,ש כ   ת ש ל י ב
מתיתיהו,מ ת י ת י ה ו
ש מעון לעוב,ש   מ ע ו ן   ל ע ו ב
ש חולות חדש,ש   ח ו ל ו ת   ח ד ש
יצחק למדן,י צ ח ק   ל מ ד ן
עדן שמואל,ע ד ן   ש מ ו א ל
ניסאן,נ י ס א ן
פינשטיין חיה,פ י נ ש ט י י ן   ח י ה
ככר דב אשבל,כ כ ר   ד ב   א ש ב ל
אהרן הטסגי,א ה ר ן   ה ט ס ג י
זייד בן תאבת,ז י י ד   ב ן   ת א ב ת
סנט נוה השרון,ס נ ט   נ ו ה   ה ש ר ו ן
הזריעה,ה ז ר י ע ה
ש גבעת עמידר,ש   ג ב ע ת   ע מ י ד ר
גתקיבוץ,ג ת ק י ב ו ץ
שכונת שלומית,ש כ ו נ ת   ש ל ו מ י ת
גילת,ג י ל ת
ש סטודנ ק י,ש   ס ט ו ד נ   ק   י
הרב דמארי,ה ר ב   ד מ א ר י
פונוביז ישי,פ ו נ ו ב י ז   י ש י
טרפה בן אל-עבד,ט ר פ ה   ב ן   א ל - ע ב ד
מעלה המייסדים,מ ע ל ה   ה מ י י ס ד י ם
ש יוגוסלביים,ש   י ו ג ו ס ל ב י י ם
הרב סרנה,ה ר ב   ס ר נ ה
אל טאיף,א ל   ט א י ף
אל על,א ל   ע ל
רב חיסדא,ר ב   ח י ס ד א
אל-פרג',א ל - פ ר ג '
ערפה,ע ר פ ה
דרך השומרה,ד ר ך   ה ש ו מ ר ה
ש הפרוגרסיבים,ש   ה פ ר ו ג ר ס י ב י ם
החרדל,ה ח ר ד ל
מ מסח ק יובל,מ   מ ס ח   ק   י ו ב ל
אביעד,א ב י ע ד
"אביטל מ""ר","א ב י ט ל   מ "" ר"
צורי,צ ו ר י
ביר אל-סבע,ב י ר   א ל - ס ב ע
בקע ש דיסקי,ב ק ע   ש   ד י ס ק י
אלמגלס,א ל מ ג ל ס
התור סמ,ה ת ו ר   ס מ
כוכב יאיר-צור יגאל,כ ו כ ב   י א י ר - צ ו ר   י ג א ל
מרגוע,מ ר ג ו ע
חלוקי נחל,ח ל ו ק י   נ ח ל
אלזיר עטא,א ל ז י ר   ע ט א
החניכים,ה ח נ י כ י ם
ש מגד ב שור,ש   מ ג ד   ב   ש ו ר
בן חיים פאול,ב ן   ח י י ם   פ א ו ל
הכלניות,ה כ ל נ י ו ת
רמות,ר מ ו ת
משעול החן,מ ש ע ו ל   ה ח ן
שלום לוין,ש ל ו ם   ל ו י ן
בית דגן,ב י ת   ד ג ן
ש נכסי חן,ש   נ כ ס י   ח ן
שמעון ברנפלד,ש מ ע ו ן   ב ר נ פ ל ד
אלרד'ואן,א ל ר ד ' ו א ן
רחבת ימית,ר ח ב ת   י מ י ת
כפר אברהם,כ פ ר   א ב ר ה ם
סוואחרה,ס ו ו א ח ר ה
סמ שבזי,ס מ   ש ב ז י
אל חכמה,א ל   ח כ מ ה
סמטה נחל,ס מ ט ה   נ ח ל
גלי אילת,ג ל י   א י ל ת
מרכז תושיה,מ ר כ ז   ת ו ש י ה
סמ כח,ס מ   כ ח
שד יחזקאל,ש ד   י ח ז ק א ל
ש ג רח ז,ש   ג   ר ח   ז
בתרן,ב ת ר ן
רובין יעקב,ר ו ב י ן   י ע ק ב
אל-ג'דוע אל-ספלי,א ל - ג ' ד ו ע   א ל - ס פ ל י
ש סביוני הפארק,ש   ס ב י ו נ י   ה פ א ר ק
ראש העין ש ד,ר א ש   ה ע י ן   ש   ד
סמ נחל חבר,ס מ   נ ח ל   ח ב ר
השילוני אחיה,ה ש י ל ו נ י   א ח י ה
רשבא,ר ש ב א
השופטים,ה ש ו פ ט י ם
חצב מד,ח צ ב   מ ד
עין אל-שמאליה,ע י ן   א ל - ש מ א ל י ה
אביעד הרב,א ב י ע ד   ה ר ב
מרגלית הרבנית,מ ר ג ל י ת   ה ר ב נ י ת
נורבגיה,נ ו ר ב ג י ה
רגדאן,ר ג ד א ן
אל-אשגאר,א ל - א ש ג א ר
אריה תגר,א ר י ה   ת ג ר
אבן - ח'לדון,א ב ן   -   ח ' ל ד ו ן
גבל אטרש,ג ב ל   א ט ר ש
רמת כרמים,ר מ ת   כ ר מ י ם
לויטה זליג אהרון,ל ו י ט ה   ז ל י ג   א ה ר ו ן
ש תל שלום ב,ש   ת ל   ש ל ו ם   ב
אגרת תימן,א ג ר ת   ת י מ ן
קיסריה וילות,ק י ס ר י ה   ו י ל ו ת
סמ הרדוף,ס מ   ה ר ד ו ף
ניצנים כ נער,נ י צ נ י ם   כ   נ ע ר
כיכר אנטיב,כ י כ ר   א נ ט י ב
ביס קציני ים,ב י ס   ק צ י נ י   י ם
אלכליל,א ל כ ל י ל
ככר אבריאל אהוד,כ כ ר   א ב ר י א ל   א ה ו ד
עין חי,ע י ן   ח י
השורשים,ה ש ו ר ש י ם
שדרות עצמאות,ש ד ר ו ת   ע צ מ א ו ת
"הנחל כ""א","ה נ ח ל   כ "" א"
שכ אלחמרה,ש כ   א ל ח מ ר ה
ככר טנה דוד,כ כ ר   ט נ ה   ד ו ד
קרומר נוח,ק ר ו מ ר   נ ו ח
הרב קניאל יהושע,ה ר ב   ק נ י א ל   י ה ו ש ע
"ככר צה""ל","כ כ ר   צ ה "" ל"
הקונכיה,ה ק ו נ כ י ה
קרון אהרן,ק ר ו ן   א ה ר ן
בגליבטר,ב ג ל י ב ט ר
ככר יורם טהר לב,כ כ ר   י ו ר ם   ט ה ר   ל ב
חנה הנביאה,ח נ ה   ה נ ב י א ה
ניסן בר,נ י ס ן   ב ר
עין גנים,ע י ן   ג נ י ם
סמ בני ברית,ס מ   ב נ י   ב ר י ת
אנצארי,א נ צ א ר י
מחנות מד,מ ח נ ו ת   מ ד
מילנר,מ י ל נ ר
שד בן פורת מרדכי,ש ד   ב ן   פ ו ר ת   מ ר ד כ י
השרון סמטה,ה ש ר ו ן   ס מ ט ה
שכ רמת שמואל,ש כ   ר מ ת   ש מ ו א ל
המלאכה דרך,ה מ ל א כ ה   ד ר ך
שליון,ש ל י ו ן
מבוא קטורה,מ ב ו א   ק ט ו ר ה
הרכבת דרך,ה ר כ ב ת   ד ר ך
מכבים,מ כ ב י ם
סייאראת חגה,ס י י א ר א ת   ח ג ה
באב א סילסי,ב א ב   א   ס י ל ס י
שכ ביאליק,ש כ   ב י א ל י ק
חלדה,ח ל ד ה
קוזי,ק ו ז י
נופי ממרא,נ ו פ י   מ מ ר א
ש הראל,ש   ה ר א ל
שכ נוף העמק,ש כ   נ ו ף   ה ע מ ק
תראבין א צאנע,ת ר א ב י ן   א   צ א נ ע
ש עולין בצרו,ש   ע ו ל י ן   ב צ ר ו
סמטאס שדרות,ס מ ט א ס   ש ד ר ו ת
מבוא מעונה,מ ב ו א   מ ע ו נ ה
פיקסלר עדינה ויעקב,פ י ק ס ל ר   ע ד י נ ה   ו י ע ק ב
שילוב,ש י ל ו ב
מרום כנרת,מ ר ו ם   כ נ ר ת
ויל ב,ו י ל   ב
אחסבאני,א ח ס ב א נ י
בגלייבטר שמואל,ב ג ל י י ב ט ר   ש מ ו א ל
מלון שולמית,מ ל ו ן   ש ו ל מ י ת
ש חסכון דרום,ש   ח ס כ ו ן   ד ר ו ם
רח שד,ר ח   ש ד
הזמיר,ה ז מ י ר
ש עובד ק יבל,ש   ע ו ב ד   ק   י ב ל
לובלין,ל ו ב ל י ן
מבוא הארז,מ ב ו א   ה א ר ז
אל כאלה,א ל   כ א ל ה
בית צפאפה,ב י ת   צ פ א פ ה
הרצל ב גלזר,ה ר צ ל   ב   ג ל ז ר
ככר הבעל שם טוב,כ כ ר   ה ב ע ל   ש ם   ט ו ב
גוטמן צבי,ג ו ט מ ן   צ ב י
יחיאל דרזנר,י ח י א ל   ד ר ז נ ר
ככר תאנה,כ כ ר   ת א נ ה
"אתרוג ר""א","א ת ר ו ג   ר "" א"
ברנדיס סמטה,ב ר נ ד י ס   ס מ ט ה
אל גזאל,א ל   ג ז א ל
היד,ה י ד
סמ הכרם,ס מ   ה כ ר ם
דחייה,ד ח י י ה
שאול,ש א ו ל
פנזיאס,פ נ ז י א ס
נורדאו ככר,נ ו ר ד א ו   כ כ ר
